chainage (m),Q (m3/s),flood levels (masl)
15024.31239737088,10077.232038218614,119.92248707242996
7414.923305566298,4578.517302355576,114.03936211435268
13596.424120914657,6902.91750978211,119.43356835238724
15195.96085839932,3337.0224109006267,112.6365064736514
22981.906879224276,7521.898225828949,115.52669639463471
29717.71725419725,8790.669160699716,117.94107246401637
30225.150152289454,6553.059564876017,116.78945867524506
34585.84594493652,15228.571916678668,122.64377057735531
25866.398058115483,11347.495796544094,120.01877811714334
19123.982682331847,9123.647159898082,117.77146635102912
12245.699663738173,8130.229568771822,122.13423829136309
14665.914955126678,10403.71204613324,121.13378840510421
2423.0936777387797,18804.139371990237,128.9235410249881
2839.2662915433334,8498.223765147644,121.49876610129652
13356.779821323926,9019.242147724295,122.0374256948704
27349.998513442428,8171.228399777415,117.87032953509964
26460.7874532487,12941.043363275228,120.97392114098358
16657.005471884782,7346.108146572738,118.68745471047303
12331.880633024506,14177.407881620746,127.00655679290385
30154.69851593616,6762.083129159607,116.58137678597545
3088.8416624540746,6911.3489533781485,120.2410471754661
29986.52881760785,8970.78050042849,119.09396547829496
11014.44565678005,12136.82274311642,122.87533265965268
7974.827673265231,7838.405076466783,117.38358064837543
12436.441765566471,16207.723004735573,128.83683392038543
27993.605117169525,9562.065750982725,120.37469064288263
24613.823893495184,3675.1046704454975,112.41161803896237
11083.271569890096,5549.178423801489,117.35504845729658
32433.484813300587,8229.10756612735,117.80975811773018
19694.43115299431,10775.688678968298,119.31151678140685
350.261368818648,13069.522650872528,121.99191714143322
26695.030705399226,15240.433645133859,123.32049812437161
14923.572356366329,4412.921384464081,114.38194242463044
27249.361536226203,8563.467157878851,118.10821918747251
18056.957823219254,10990.00648549898,120.51307217658962
25577.8108454038,4838.200143913344,114.37126529098134
7014.310848667316,11597.977899801755,122.30734117808366
18514.847328217398,11927.977050182302,120.04910063007429
29537.622286290098,12791.23119043877,122.2267695650096
16729.929816534168,7698.7309268591525,118.83315730573035
34923.11945542283,6344.979878739813,114.83453791228698
31806.601871367744,9663.640284215811,119.143949054519
9071.803653824854,8312.375949302826,118.22440870222476
27510.587456335903,13149.633413063246,122.17864560528255
3468.121901190071,7281.632410054839,119.96079569669615
624.2996513112671,12622.81130109683,122.05771166236609
11716.981699682961,11184.644548581695,122.84900523878072
34569.128352331245,13921.25142506776,121.35929380453945
19669.533467888177,8405.192615656157,117.93365228163472
857.9696687728256,4211.045766613595,116.82019543867303
14388.996555431744,14594.321925760014,123.7416196338925
20825.89460112933,10810.270293339938,121.49012890290946
11085.061835330269,9957.629600727405,121.87923557071171
6479.312195718365,13134.962528524153,122.68354129093225
18395.768479223058,11540.112861405883,119.81335845241742
20232.401240899726,4601.37348781664,115.25847018676794
13694.77384741291,13832.336444655713,125.15168958426052
18254.12755732826,11613.679453662531,119.53653933065274
26146.447459076415,15949.786365788117,124.5937164907539
27237.78138442097,10285.504702354016,119.30023810367331
13566.774185589866,9572.513868575614,121.56896889252639
27251.32958611559,9070.105852722514,119.10538613193104
28547.190185162795,8785.960505776213,120.21124179335973
7957.602431100133,7614.044453674012,116.74743786531768
16755.452738610835,14028.741674552924,124.21451206885136
2483.565140326094,9396.152490696843,122.36508787465085
30933.878379457772,6653.170804892348,115.66515322753926
30061.04187947076,16125.174369177028,124.81450196131007
6148.396536260645,10098.194503875824,120.23308801921253
21663.410387320753,8261.449238143285,118.66498612949873
32221.797119793435,13754.334177589817,123.27024831816014
29711.279122812735,8445.019177602648,118.02047987904545
13461.680072910558,15395.574391644706,126.60407496851931
703.3365738102525,7943.406161521408,119.57037469793869
15108.632066215718,14053.703597353997,122.14482132142186
20160.541813643835,13355.916388830181,122.52920858966498
24062.875339648912,11440.74764934827,118.5541810997166
4348.323863463058,6314.911128462,118.60032268382265
12142.61983436527,9185.04798388673,122.69444360186654
22565.55251644319,9867.741404369983,119.27230334857859
33282.28382340909,9181.11999087858,116.04292656309671
15406.684593059332,11649.639320678958,121.30373571588873
6107.967934413627,7480.622149116504,118.24523665279705
12554.466130673258,15164.70538824694,127.6269135529904
33902.21385330338,12470.75226009719,120.7253862125548
17950.49511761428,9025.631670846797,118.49618883846462
3376.802200900013,12636.595931217911,124.71523091877187
9337.81899092458,15361.733122182082,123.3651622835057
13723.143900357745,7399.246383158433,120.3159573829993
29778.92394689392,6557.780761546389,116.0341902611085
20077.507597867618,13995.113415081734,122.58446725585338
7482.292459624257,9749.83219330293,118.61865541344542
