chainage,thalweg_trend,percentile_100yr,percentile_200yr
0,106.52576114542678,127.26130509259946,128.06728938912855
1,106.52564782443498,127.26130509259946,128.06728938912855
2,106.52553450344318,127.26130509259946,128.06728938912855
3,106.52542118245138,127.26130509259946,128.06728938912855
4,106.52530786145958,127.26130509259946,128.06728938912855
5,106.52519454046778,127.26130509259946,128.06728938912855
6,106.52508121947598,127.26130509259946,128.06728938912855
7,106.52496789848418,127.26130509259946,128.06728938912855
8,106.52485457749238,127.26130509259946,128.06728938912855
9,106.52474125650058,127.26130509259946,128.06728938912855
10,106.52462793550878,127.26130509259946,128.06728938912855
11,106.52451461451697,127.26130509259946,128.06728938912855
12,106.52440129352517,127.26130509259946,128.06728938912855
13,106.52428797253337,127.26130509259946,128.06728938912855
14,106.52417465154157,127.26130509259946,128.06728938912855
15,106.52406133054977,127.26130509259946,128.06728938912855
16,106.52394800955797,127.26130509259946,128.06728938912855
17,106.52383468856617,127.26130509259946,128.06728938912855
18,106.52372136757437,127.26130509259946,128.06728938912855
19,106.52360804658257,127.26130509259946,128.06728938912855
20,106.52349472559077,127.26130509259946,128.06728938912855
21,106.52338140459896,127.26130509259946,128.06728938912855
22,106.52326808360716,127.26130509259946,128.06728938912855
23,106.52315476261536,127.26130509259946,128.06728938912855
24,106.52304144162356,127.26130509259946,128.06728938912855
25,106.52292812063176,127.26130509259946,128.06728938912855
26,106.52281479963996,127.26130509259946,128.06728938912855
27,106.52270147864816,127.26130509259946,128.06728938912855
28,106.52258815765636,127.26130509259946,128.06728938912855
29,106.52247483666456,127.26130509259946,128.06728938912855
30,106.52236151567276,127.26130509259946,128.06728938912855
31,106.52224819468097,127.26130509259946,128.06728938912855
32,106.52213487368917,127.26130509259946,128.06728938912855
33,106.52202155269737,127.26130509259946,128.06728938912855
34,106.52190823170557,127.26130509259946,128.06728938912855
35,106.52179491071377,127.26130509259946,128.06728938912855
36,106.52168158972196,127.26130509259946,128.06728938912855
37,106.52156826873016,127.26130509259946,128.06728938912855
38,106.52145494773836,127.26130509259946,128.06728938912855
39,106.52134162674656,127.26130509259946,128.06728938912855
40,106.52122830575476,127.26130509259946,128.06728938912855
41,106.52111498476296,127.26130509259946,128.06728938912855
42,106.52100166377116,127.26130509259946,128.06728938912855
43,106.52088834277936,127.26130509259946,128.06728938912855
44,106.52077502178756,127.26130509259946,128.06728938912855
45,106.52066170079576,127.26130509259946,128.06728938912855
46,106.52054837980396,127.26130509259946,128.06728938912855
47,106.52043505881215,127.26130509259946,128.06728938912855
48,106.52032173782035,127.26130509259946,128.06728938912855
49,106.52020841682855,127.26130509259946,128.06728938912855
50,106.52009509583675,127.26130509259946,128.06728938912855
51,106.51998177484495,127.26130509259946,128.06728938912855
52,106.51986845385315,127.26130509259946,128.06728938912855
53,106.51975513286135,127.26130509259946,128.06728938912855
54,106.51964181186955,127.26130509259946,128.06728938912855
55,106.51952849087775,127.26130509259946,128.06728938912855
56,106.51941516988595,127.26130509259946,128.06728938912855
57,106.51930184889414,127.26130509259946,128.06728938912855
58,106.51918852790234,127.26130509259946,128.06728938912855
59,106.51907520691054,127.26130509259946,128.06728938912855
