chainage (m),width (m),thalweg
2760,1275.3,107.138
2770,1276.4,107.137
2780,1277.5,107.138
2790,1278.6,107.138
2800,1279.8,107.138
2810,1280.9,107.138
2820,1282.1,107.139
2830,1283.2,107.138
2840,1284.4,107.139
2850,1285.5,107.138
2860,1286.7,107.139
2870,1287.9,107.139
2880,1289,107.139
2890,1290.1,107.139
2900,1291.4,107.139
2910,1292.5,107.139
2920,1293.7,107.14
2930,1294.9,107.14
2940,1296.1,107.14
2950,1297.2,107.14
2960,1298.5,107.14
2970,1299.8,107.14
2980,1301,107.14
2990,1302.3,107.14
3000,1303.6,107.141
3010,1304.8,107.14
3020,1306.1,107.141
3030,1307.4,107.14
3040,1308.7,107.141
3050,1310,107.141
3060,1311.2,107.141
3070,1312.5,107.141
3080,1313.9,107.142
3090,1315.2,107.141
3100,1316.4,107.142
3110,1317.8,107.142
3120,1319,107.141
3130,1320.4,107.142
3140,1321.7,107.142
3150,1323,107.142
3160,1324.2,107.142
3170,1325.6,107.142
3180,1326.9,107.143
3190,1328.2,107.142
3200,1329.6,107.143
3210,1330.8,107.143
3220,1332.2,107.143
3230,1333.5,107.143
3240,1334.8,107.143
3250,1336.1,107.143
3260,1337.4,107.144
3270,1338.7,107.143
3280,1340.1,107.143
3290,1341.4,107.144
3300,1342.7,107.144
3310,1344,107.144
3320,1345.3,107.143
3330,1346.7,107.144
3340,1348,107.144
3350,1349.3,107.144
3360,1350.6,107.145
3370,1352,107.145
3380,1353.3,107.145
3390,1354.7,107.144
3400,1356,107.145
3410,1357.3,107.145
3420,1358.6,107.145
3430,1360,107.145
3440,1361.3,107.145
3450,1362.7,107.146
3460,1363.9,107.146
3470,1365.2,107.146
3480,1366.5,107.146
3490,1367.8,107.145
3500,1369,107.145
3510,1370.9,107.146
3520,1374.1,107.138
3530,1378.4,107.13
3540,1382.8,107.121
3550,1387.1,107.113
3560,1391.5,107.105
3570,1395.9,107.097
3580,1400.3,107.089
3590,1404.6,107.081
3600,1409,107.073
3610,1413.3,107.065
3620,1417.7,107.057
3630,1422.1,107.049
3640,1426.4,107.041
3650,1430.8,107.033
3660,1435.2,107.025
3670,1439.6,107.017
3680,1443.9,107.009
3690,1448.3,107
3700,1452.7,106.992
3710,1457.1,106.984
3720,1461.5,106.976
3730,1465.8,106.968
3740,1470.2,106.96
3750,1474.6,106.952
3760,1479,106.944
3770,1483.4,106.936
3780,1487.8,106.928
3790,1492.1,106.92
3800,1496.5,106.912
3810,1500.9,106.904
3820,1505.3,106.896
3830,1509.7,106.887
3840,1514.1,106.879
3850,1518.5,106.871
3860,1522.8,106.863
3870,1527.3,106.855
3880,1531.6,106.847
3890,1536,106.839
3900,1540.4,106.83
3910,1544.8,106.822
3920,1549.2,106.814
3930,1553.6,106.806
3940,1558,106.797
3950,1562.4,106.789
3960,1566.8,106.781
3970,1571.1,106.774
3980,1575.6,106.766
3990,1579.9,106.758
4000,1584.3,106.75
4010,1588.7,106.742
4020,1593,106.734
4030,1597.5,106.726
4040,1601.9,106.717
4050,1606.3,106.709
4060,1610.7,106.701
4070,1615,106.693
4080,1619.4,106.685
4090,1623.8,106.677
4100,1628.2,106.669
4110,1632.5,106.661
4120,1637,106.653
4130,1641.3,106.644
4140,1645.7,106.636
4150,1650,106.628
4160,1654.5,106.62
4170,1658.9,106.612
4180,1663.2,106.604
4190,1667.6,106.596
4200,1672,106.588
4210,1676.4,106.579
4220,1680.8,106.571
4230,1685.2,106.563
4240,1689.5,106.555
4250,1694,106.547
4260,1698.3,106.539
4270,1702.7,106.531
4280,1707.1,106.523
4290,1711.4,106.514
4300,1715.9,106.506
4310,1720.3,106.498
4320,1724.6,106.49
4330,1729,106.482
4340,1733.4,106.474
4350,1737.8,106.466
4360,1742.3,106.458
4370,1746.5,106.45
4380,1750.9,106.442
4390,1755.4,106.434
4400,1759.7,106.426
4410,1764.2,106.418
4420,1768.5,106.41
4430,1772.9,106.401
4440,1777.2,106.393
4450,1781.5,106.385
4460,1785.9,106.377
4470,1790.2,106.369
4480,1794.5,106.361
4490,1798.8,106.352
4500,1803.2,106.344
4510,1807.4,106.336
4520,1811.8,106.328
4530,1816.1,106.321
4540,1820.4,106.313
4550,1824.8,106.304
4560,1829.1,106.296
4570,1833.4,106.288
4580,1837.7,106.28
4590,1842,106.272
4600,1846.3,106.264
4610,1850.6,106.255
4620,1854.9,106.247
4630,1859.3,106.239
4640,1863.5,106.231
4650,1867.9,106.223
4660,1872.2,106.216
4670,1876.4,106.207
4680,1880.7,106.199
4690,1885.1,106.191
4700,1889.3,106.183
4710,1893.6,106.175
4720,1897.9,106.166
4730,1902.2,106.158
4740,1906.5,106.15
4750,1910.7,106.142
4760,1915,106.134
4770,1919.3,106.127
4780,1923.5,106.118
4790,1927.9,106.11
4800,1932,106.102
4810,1936.4,106.094
4820,1940.7,106.086
4830,1944.9,106.077
4840,1949.1,106.069
4850,1953.5,106.061
4860,1957.7,106.053
4870,1961.9,106.046
4880,1966.1,106.037
4890,1970.4,106.029
4900,1974.6,106.021
4910,1978.8,106.013
4920,1983.2,106.004
4930,1987.3,105.996
4940,1991.6,105.988
4950,1995.8,105.981
4960,2000.1,105.973
4970,2004.2,105.964
4980,2008.5,105.956
4990,2012.7,105.948
5000,2016.8,105.94
5010,2021.1,105.931
5020,2025.3,105.923
5030,2029.5,105.916
5040,2033.7,105.908
5050,2037.9,105.9
5060,2042.2,105.891
5070,2046.2,105.883
5080,2050.5,105.875
5090,2054.7,105.867
5100,2058.7,105.858
5110,2062.9,105.851
5120,2067.2,105.843
5130,2071.2,105.835
5140,2075.4,105.826
5150,2079.6,105.818
5160,2078.7,105.812
5170,2075.8,105.808
5180,2072.8,105.803
5190,2069.9,105.798
5200,2066.8,105.794
5210,2063.9,105.789
5220,2061,105.784
5230,2058.1,105.78
5240,2055.1,105.775
5250,2052.2,105.77
5260,2049.1,105.765
5270,2046.3,105.76
5280,2043.3,105.755
5290,2040.4,105.752
5300,2037.4,105.747
5310,2034.6,105.742
5320,2031.6,105.737
5330,2028.6,105.732
5340,2025.7,105.727
5350,2022.8,105.722
5360,2019.8,105.718
5370,2017,105.714
5380,2014,105.709
5390,2011,105.704
5400,2008.1,105.699
5410,2005.2,105.694
5420,2002.2,105.69
5430,1999.4,105.685
5440,1996.4,105.68
5450,1993.4,105.675
5460,1990.5,105.671
5470,1987.6,105.666
5480,1984.6,105.661
5490,1981.7,105.656
5500,1978.8,105.651
5510,1975.8,105.647
5520,1972.9,105.642
5530,1970,105.637
5540,1967.1,105.632
5550,1964.2,105.628
5560,1961.3,105.623
5570,1958.3,105.618
5580,1955.3,105.614
5590,1952.4,105.609
5600,1949.5,105.604
5610,1946.6,105.6
5620,1943.7,105.595
5630,1940.8,105.59
5640,1937.8,105.586
5650,1934.9,105.581
5660,1932,105.576
5670,1929,105.572
5680,1926.1,105.567
5690,1923.2,105.561
5700,1920.2,105.557
5710,1912.8,105.552
5720,1906.6,105.548
5730,1899,105.543
5740,1892.7,105.538
5750,1885.2,105.534
5760,1878.8,105.528
5770,1871.1,105.524
5780,1864.7,105.519
5790,1857,105.515
5800,1850.6,105.51
5810,1842.9,105.505
5820,1835.2,105.5
5830,1828.7,105.495
5840,1820.9,105.491
5850,1814.6,105.486
5860,1806.8,105.482
5870,1800.4,105.476
5880,1792.6,105.472
5890,1786,105.467
5900,1776.8,105.463
5910,1769.4,105.458
5920,1760.1,105.453
5930,1751.4,105.448
5940,1743.5,105.444
5950,1734.7,105.439
5960,1726.7,105.434
5970,1718,105.429
5980,1710,105.425
5990,1701.3,105.42
6000,1693.2,105.416
6010,1684.5,105.41
6020,1676.3,105.406
6030,1667.7,105.401
6040,1658.4,105.397
6050,1650.9,105.391
6060,1641.6,105.387
6070,1634.1,105.382
6080,1624.5,105.378
6090,1617,105.372
6100,1607.6,105.368
6110,1600,105.363
6120,1590.6,105.358
6130,1582.3,105.353
6140,1573.4,105.349
6150,1565.2,105.344
6160,1556.3,105.339
6170,1548.1,105.335
6180,1539.2,105.33
6190,1531,105.326
6200,1521.9,105.32
6210,1513.8,105.316
6220,1504.7,105.311
6230,1496.6,105.307
6240,1487,105.301
6250,1479.4,105.297
6260,1469.8,105.292
6270,1462,105.288
6280,1452.4,105.282
6290,1444.7,105.278
6300,1435.1,105.273
6310,1427.4,105.269
6320,1421.5,105.263
6330,1416.9,105.259
6340,1412,105.254
6350,1407.3,105.25
6360,1402.6,105.245
6370,1398,105.24
6380,1393.2,105.236
6390,1388.5,105.23
6400,1383.7,105.226
6410,1379.2,105.221
6420,1374.4,105.217
6430,1369.9,105.211
6440,1365.1,105.207
6450,1360.6,105.203
6460,1355.7,105.197
6470,1351.3,105.193
6480,1346.5,105.188
6490,1342.1,105.183
6500,1337.4,105.179
6510,1333.6,105.174
6520,1330,105.169
6530,1326.4,105.164
6540,1322.8,105.16
6550,1319.3,105.155
6560,1315.7,105.15
6570,1312.1,105.146
6580,1308.5,105.14
6590,1304.9,105.136
6600,1301.4,105.132
6610,1297.8,105.126
6620,1294.3,105.122
6630,1290.7,105.117
6640,1287.1,105.112
6650,1283.6,105.108
6660,1280,105.103
6670,1276.5,105.098
6680,1273,105.093
6690,1269.5,105.089
6700,1265.9,105.083
6710,1262.4,105.079
6720,1258.9,105.075
6730,1255.4,105.07
6740,1251.9,105.065
6750,1248.4,105.06
6760,1230.1,105.053
6770,1225,105.024
6780,1220.3,104.995
6790,1215.4,104.965
6800,1210.9,104.937
6810,1206.2,104.907
6820,1201.5,104.878
6830,1197.1,104.848
6840,1192.5,104.82
6850,1188.3,104.791
6860,1183.9,104.761
6870,1179.5,104.732
6880,1175.5,104.703
6890,1171.1,104.674
6900,1167,104.644
6910,1162.9,104.615
6920,1159.2,104.587
6930,1155.3,104.557
6940,1151.4,104.528
