chainage (m),width (m),thalweg
11890,1384.1,107.106
11900,1381.1,107.124
11910,1378.1,107.141
11920,1375,107.158
11930,1371.9,107.176
11940,1368.9,107.194
11950,1365.8,107.211
11960,1362.7,107.229
11970,1359.6,107.246
11980,1356.6,107.264
11990,1353.5,107.282
12000,1350.4,107.299
12010,1347.3,107.316
12020,1344.1,107.335
12030,1341,107.352
12040,1337.9,107.369
12050,1334.8,107.386
12060,1331.7,107.405
12070,1328.5,107.422
12080,1325.3,107.439
12090,1322.2,107.458
12100,1319.1,107.475
12110,1315.7,107.492
12120,1312.4,107.509
12130,1309.1,107.528
12140,1305.8,107.545
12150,1302.4,107.562
12160,1300.8,107.564
12170,1298.3,107.561
12180,1295.7,107.559
12190,1293.1,107.556
12200,1290.5,107.554
12210,1287.7,107.551
12220,1285,107.548
12230,1282.2,107.546
12240,1279.4,107.543
12250,1276.7,107.54
12260,1274,107.537
12270,1271.3,107.535
12280,1268.5,107.532
12290,1265.7,107.529
12300,1263.1,107.527
12310,1260.3,107.524
12320,1257.6,107.521
12330,1254.9,107.519
12340,1252.2,107.516
12350,1249.5,107.513
12360,1246.8,107.511
12370,1244.1,107.508
12380,1241.5,107.505
12390,1238.8,107.503
12400,1236.1,107.5
12410,1233.4,107.497
12420,1230.8,107.495
12430,1228.1,107.492
12440,1225.5,107.489
12450,1222.8,107.487
12460,1220.2,107.484
12470,1217.6,107.482
12480,1214.9,107.479
12490,1212.3,107.476
12500,1209.7,107.474
12510,1207.1,107.471
12520,1204.5,107.469
12530,1201.9,107.466
12540,1199.2,107.463
12550,1196.6,107.461
12560,1194.1,107.458
12570,1191.5,107.456
12580,1188.8,107.453
12590,1186.3,107.45
12600,1183.7,107.448
12610,1181.1,107.445
12620,1178.5,107.443
12630,1175.9,107.44
12640,1173.4,107.437
12650,1170.8,107.434
12660,1168.3,107.432
12670,1165.7,107.429
12680,1163.1,107.426
12690,1160.6,107.424
12700,1158.1,107.421
12710,1155.6,107.419
12720,1153.1,107.416
12730,1150.5,107.413
12740,1148,107.41
12750,1145.5,107.408
12760,1143,107.405
12770,1140.5,107.403
12780,1138,107.4
12790,1135.5,107.398
12800,1133,107.394
12810,1131.7,107.389
12820,1132.3,107.374
12830,1132.9,107.359
12840,1133.5,107.345
12850,1134.1,107.329
12860,1134.7,107.315
12870,1135.3,107.3
12880,1136,107.285
12890,1136.7,107.27
12900,1137.3,107.255
12910,1137.9,107.24
12920,1138.6,107.226
12930,1139.3,107.21
12940,1140,107.196
12950,1140.6,107.181
12960,1141.3,107.166
12970,1142,107.151
12980,1142.6,107.137
12990,1143.3,107.121
13000,1144,107.107
13010,1144.8,107.092
13020,1145.6,107.077
13030,1146.3,107.063
13040,1147.1,107.048
13050,1147.9,107.033
13060,1148.7,107.018
13070,1149.6,107.004
13080,1150.5,106.988
13090,1151.4,106.974
13100,1152.2,106.958
13110,1153.2,106.944
13120,1154.2,106.929
13130,1155.3,106.914
13140,1156.3,106.899
13150,1157.4,106.885
13160,1158.6,106.869
13170,1159.7,106.855
13180,1161,106.84
13190,1162.3,106.825
13200,1163.4,106.811
13210,1164.4,106.796
13220,1165.5,106.781
13230,1166.5,106.766
13240,1167.6,106.752
13250,1168.7,106.736
13260,1169.8,106.722
13270,1171,106.707
13280,1172,106.692
13290,1173.1,106.677
13300,1174.2,106.663
13310,1175.3,106.647
13320,1176.5,106.633
13330,1177.6,106.618
13340,1178.8,106.603
13350,1179.9,106.588
13360,1181.2,106.573
13370,1182.4,106.558
13380,1183.6,106.544
13390,1184.9,106.529
13400,1186.2,106.514
13410,1187.4,106.5
13420,1188.5,106.484
13430,1189.5,106.47
13440,1190.6,106.455
13450,1191.6,106.44
13460,1192.6,106.425
13470,1193.6,106.411
13480,1197.4,106.398
13490,1199.9,106.388
13500,1202.5,106.377
13510,1205,106.367
13520,1207.6,106.357
13530,1210.1,106.347
13540,1212.7,106.336
13550,1215.2,106.326
13560,1217.8,106.315
13570,1220.3,106.306
13580,1222.8,106.295
13590,1225.4,106.285
13600,1227.8,106.274
13610,1230.4,106.265
13620,1232.9,106.254
13630,1235.4,106.244
13640,1238,106.233
13650,1240.5,106.224
13660,1243.1,106.213
13670,1245.6,106.203
13680,1248.1,106.192
13690,1250.6,106.183
13700,1253.2,106.172
13710,1255.7,106.162
13720,1258.1,106.151
13730,1260.7,106.142
13740,1263.2,106.131
13750,1265.7,106.121
13760,1268.2,106.111
13770,1270.7,106.101
13780,1273.3,106.09
13790,1275.7,106.08
13800,1278.3,106.07
13810,1280.8,106.059
13820,1283.2,106.049
13830,1285.7,106.039
13840,1288,106.029
13850,1290.5,106.018
13860,1292.9,106.008
13870,1295.4,105.998
13880,1297.9,105.988
13890,1300.3,105.977
13900,1302.8,105.968
13910,1305.2,105.957
13920,1307.7,105.947
13930,1310.2,105.937
13940,1312.6,105.926
13950,1315.1,105.916
13960,1317.5,105.905
13970,1320,105.896
13980,1322.4,105.885
13990,1324.9,105.874
14000,1327.4,105.865
14010,1329.8,105.854
14020,1332.3,105.844
14030,1334.8,105.834
14040,1337.2,105.824
14050,1339.7,105.813
14060,1342.1,105.804
14070,1344.6,105.793
14080,1347,105.782
14090,1349.5,105.773
14100,1352,105.762
14110,1354.4,105.752
14120,1356.9,105.742
14130,1359.3,105.731
14140,1361.8,105.721
14150,1293.8,105.711
14160,1297.6,105.704
14170,1301.4,105.696
14180,1305,105.688
14190,1308.8,105.681
14200,1312.4,105.673
14210,1315.9,105.665
14220,1319.5,105.658
14230,1323.1,105.65
14240,1326.5,105.643
14250,1329.8,105.634
14260,1333.2,105.626
14270,1336.7,105.619
14280,1339.9,105.611
14290,1343.1,105.603
14300,1346.2,105.596
14310,1349.6,105.588
14320,1352.7,105.58
14330,1355.7,105.573
14340,1358.6,105.565
14350,1361.8,105.557
14360,1364.8,105.55
14370,1367.7,105.542
14380,1370.7,105.535
14390,1373.5,105.527
14400,1376.3,105.519
14410,1378.9,105.511
14420,1381.7,105.504
14430,1384.1,105.496
14440,1386.6,105.488
14450,1389,105.481
14460,1391.7,105.473
14470,1394,105.465
14480,1396.3,105.458
14490,1398.5,105.45
14500,1401.3,105.442
14510,1403.7,105.434
14520,1406.1,105.427
14530,1408.4,105.419
14540,1411,105.411
14550,1413.3,105.404
14560,1415.6,105.396
14570,1418,105.388
14580,1420.5,105.38
14590,1423.8,105.373
14600,1427.1,105.365
14610,1430.4,105.357
14620,1433.7,105.349
14630,1436.9,105.342
14640,1440.3,105.334
14650,1443.7,105.326
14660,1447,105.318
14670,1450,105.31
14680,1453.2,105.304
14690,1456.5,105.296
14700,1459.7,105.288
14710,1462.9,105.28
14720,1466.2,105.272
14730,1469.6,105.264
14740,1473.1,105.257
14750,1476.3,105.249
14760,1479.8,105.242
14770,1483.3,105.234
14780,1486.7,105.226
14790,1490.3,105.218
14800,1493.1,105.203
14810,1494.5,105.172
14820,1495.9,105.142
14830,1497.3,105.111
14840,1498.6,105.079
14850,1500.1,105.048
14860,1501.6,105.017
14870,1502.9,104.986
14880,1504.3,104.954
14890,1505.6,104.923
14900,1507,104.892
14910,1508.3,104.861
14920,1509.8,104.829
14930,1511.1,104.798
14940,1512.4,104.768
14950,1500.2,104.737
14960,1497.1,104.705
14970,1493.8,104.674
14980,1493.8,104.643
14990,1493.9,104.612
15000,1494,104.581
15010,1492.5,104.549
15020,1489.6,104.518
15030,1489.5,104.487
15040,1489.6,104.456
15050,1489.8,104.425
15060,1489.7,104.393
15070,1489.7,104.362
15080,1489.6,104.331
15090,1489.4,104.3
15100,1486.9,104.268
15110,1438.9,104.237
15120,1419.2,104.206
15130,1410.3,104.175
15140,1406,104.144
15150,1396.1,104.113
15160,1378.2,104.082
15170,1372.9,104.051
15180,1367.5,104.019
15190,1362,103.988
15200,1356.6,103.958
15210,1351.5,103.926
15220,1346.8,103.895
15230,1342.3,103.864
15240,1337,103.832
15250,1331.3,103.801
15260,1325,103.77
15270,1306.8,103.739
15280,1300,103.708
15290,1292.2,103.676
15300,1284.5,103.646
15310,1276.8,103.614
15320,1271.3,103.583
15330,1271.5,103.552
15340,1271.3,103.521
15350,1271.6,103.49
15360,1271.7,103.458
15370,1271.9,103.428
15380,1271.9,103.396
15390,1272.3,103.365
15400,1272.4,103.334
15410,1272.7,103.303
15420,1273,103.271
15430,1273.3,103.241
15440,1273.6,103.209
15450,1273.8,103.178
15460,1274.1,103.147
15470,1274.6,103.116
15480,1274.9,103.084
15490,1275.4,103.054
15500,1275.9,103.022
15510,1276.3,102.991
15520,1276.8,102.96
15530,1277.3,102.928
15540,1277.8,102.898
15550,1278.2,102.866
15560,1278.8,102.835
15570,1279.3,102.804
15580,1279.7,102.773
15590,1280.4,102.742
15600,1281,102.711
15610,1281.5,102.679
15620,1282.2,102.648
15630,1282.7,102.617
15640,1283.3,102.586
15650,1284,102.555
15660,1284.6,102.524
15670,1285.1,102.493
15680,1286,102.461
15690,1286.4,102.43
15700,1287.3,102.399
15710,1287.9,102.368
15720,1288.4,102.336
15730,1289.2,102.306
15740,1290.9,102.312
15750,1292.6,102.344
15760,1294.7,102.377
15770,1296.6,102.409
15780,1298.2,102.441
15790,1299.9,102.473
15800,1301.5,102.506
15810,1302.5,102.538
15820,1304,102.57
15830,1305.3,102.602
15840,1306.1,102.634
15850,1307.4,102.667
15860,1308.8,102.699
15870,1309.9,102.731
15880,1311.1,102.763
15890,1312.2,102.795
15900,1313.1,102.828
15910,1314,102.86
15920,1315.1,102.892
15930,1315.7,102.925
15940,1316.2,102.956
15950,1317.4,102.988
15960,1319.3,103.021
15970,1321.2,103.053
15980,1323,103.086
15990,1324.9,103.118
16000,1326.3,103.15
16010,1327.6,103.182
16020,1329,103.214
16030,1328.9,103.246
16040,1329.7,103.278
16050,1329.8,103.311
16060,1331.1,103.343
16070,1326.6,103.375
16080,1320.3,103.408
16090,1314.4,103.44
16100,1305,103.472
16110,1300.8,103.504
16120,1283.2,103.537
16130,1282,103.569
16140,1282.5,103.6
16150,1271.1,103.633
16160,1251.9,103.665
16170,1235.4,103.697
16180,1220.9,103.729
16190,1214.6,103.762
16200,1178.9,103.794
16210,1180.3,103.826
16220,1182,103.859
16230,1184.1,103.891
16240,1186.4,103.922
16250,1188.7,103.955
16260,1191.1,103.987
16270,1193.6,104.02
16280,1196,104.052
16290,1198.8,104.084
16300,1192.5,104.116
16310,1195.1,104.148
16320,1197.2,104.18
16330,1199.9,104.213
16340,1202.6,104.245
16350,1205.8,104.278
16360,1209.1,104.309
16370,1212.1,104.341
16380,1215.7,104.374
16390,1219.3,104.406
16400,1222.7,104.438
16410,1226.3,104.471
16420,1229.8,104.502
16430,1233.5,104.534
16440,1237.2,104.567
16450,1240.7,104.599
16460,1244.4,104.632
16470,1248,104.664
16480,1251.6,104.696
16490,1255.3,104.728
16500,1258.9,104.76
16510,1262.7,104.792
16520,1266.3,104.825
16530,1270,104.857
16540,1273.7,104.889
16550,1277.4,104.922
16560,1281.1,104.953
16570,1284.8,104.986
16580,1288.6,105.018
16590,1292.3,105.05
16600,1296.1,105.083
16610,1299.7,105.115
16620,1303.5,105.147
16630,1307.2,105.179
16640,1311,105.211
16650,1314.8,105.243
16660,1318.6,105.276
16670,1322.4,105.308
16680,1326,105.34
16690,1329.8,105.373
16700,1333.7,105.405
16710,1337.4,105.436
16720,1341.2,105.469
16730,1344.9,105.501
16740,1348.8,105.533
16750,1352.5,105.566
16760,1356.4,105.598
16770,1360.2,105.63
16780,1363.9,105.663
16790,1367.8,105.695
16800,1371.5,105.726
16810,1368.4,105.719
16820,1363.4,105.702
16830,1358.5,105.684
16840,1353.6,105.666
16850,1348.7,105.649
16860,1343.8,105.632
16870,1338.9,105.614
16880,1333.9,105.597
16890,1329.1,105.579
16900,1324.1,105.561
16910,1319.2,105.545
16920,1314.3,105.527
16930,1309.3,105.509
16940,1304.4,105.491
16950,1299.5,105.474
16960,1294.6,105.457
16970,1289.7,105.439
16980,1284.7,105.422
16990,1279.8,105.404
17000,1275,105.387
17010,1270.1,105.37
17020,1265.2,105.352
17030,1260.3,105.334
17040,1255.5,105.316
17050,1250.6,105.3
17060,1245.8,105.282
17070,1240.9,105.264
17080,1236,105.247
17090,1231.2,105.23
17100,1226.3,105.212
17110,1221.6,105.194
17120,1216.6,105.177
17130,1211.7,105.159
17140,1206.7,105.142
17150,1209.8,105.125
17160,1209.9,105.107
17170,1207.8,105.089
17180,1205.3,105.072
17190,1203.4,105.055
17200,1200.6,105.037
17210,1197.9,105.02
17220,1195.8,105.002
17230,1193,104.985
17240,1190.5,104.967
17250,1187.6,104.95
17260,1185.4,104.932
17270,1182.1,104.914
17280,1179,104.898
17290,1175.7,104.88
17300,1172.4,104.862
17310,1169.2,104.845
17320,1166.2,104.828
17330,1163.7,104.81
17340,1162.7,104.793
17350,1163.9,104.775
17360,1163.8,104.757
17370,1164.1,104.74
17380,1163.8,104.723
17390,1163.3,104.705
17400,1163,104.688
17410,1162.1,104.67
17420,1161.3,104.652
17430,1160.3,104.635
17440,1159,104.617
17450,1157.4,104.6
17460,1163.1,104.583
17470,1169,104.565
17480,1177.8,104.548
17490,1195.7,104.53
17500,1206,104.513
17510,1212.9,104.495
17520,1225.6,104.478
17530,1240.2,104.461
17540,1253.4,104.443
17550,1278.7,104.426
17560,1299.7,104.407
17570,1318.1,104.39
17580,1325.1,104.373
17590,1331.5,104.355
17600,1338,104.338
17610,1353.5,104.321
17620,1355.7,104.302
17630,1355.9,104.285
17640,1360.3,104.268
17650,1361,104.25
17660,1363,104.233
17670,1370.6,104.216
17680,1378.9,104.198
17690,1377.7,104.181
17700,1376.7,104.163
17710,1379.5,104.145
17720,1375.4,104.128
17730,1371.2,104.11
17740,1367.4,104.093
17750,1363.4,104.076
17760,1359.5,104.058
17770,1356,104.041
17780,1352.7,104.023
17790,1349.1,104.006
17800,1346.5,103.988
17810,1343.7,103.971
17820,1343.5,103.954
17830,1343.4,103.936
17840,1342.5,103.919
17850,1339.3,103.901
17860,1336.9,103.884
17870,1334.7,103.866
17880,1331.5,103.848
17890,1329.5,103.83
17900,1326.6,103.813
17910,1323.1,103.795
17920,1319.6,103.778
17930,1316.5,103.76
17940,1312.9,103.743
17950,1309.6,103.725
17960,1306.5,103.708
17970,1302.9,103.691
17980,1299.8,103.674
17990,1298.1,103.658
18000,1299.1,103.646
18010,1299.9,103.634
18020,1300.8,103.621
18030,1301.6,103.609
18040,1302.5,103.596
18050,1303.5,103.584
18060,1304.2,103.571
18070,1305.3,103.559
18080,1306,103.547
18090,1306.9,103.534
18100,1307.9,103.522
18110,1308.6,103.509
18120,1309.4,103.497
18130,1310.7,103.484
18140,1311.4,103.472
18150,1311.3,103.459
18160,1312.3,103.448
18170,1312.2,103.435
18180,1312.7,103.423
18190,1313.4,103.41
18200,1313.4,103.398
18210,1313.6,103.385
18220,1314.1,103.373
18230,1314.1,103.36
18240,1314.5,103.348
18250,1314.8,103.335
18260,1314.7,103.324
18270,1315.3,103.311
18280,1314.1,103.299
18290,1310.5,103.286
18300,1311.2,103.274
18310,1311.7,103.261
18320,1313,103.249
18330,1313.4,103.237
18340,1314.1,103.225
18350,1315.1,103.212
18360,1315.6,103.199
18370,1316.1,103.187
18380,1317,103.174
18390,1317.6,103.163
18400,1318,103.15
18410,1319.2,103.138
18420,1319.6,103.125
18430,1320.2,103.113
18440,1320.9,103.1
18450,1321.2,103.088
18460,1322,103.076
18470,1322.7,103.063
18480,1323.3,103.051
18490,1323.7,103.038
18500,1324.8,103.026
18510,1325.6,103.014
18520,1326.6,103.001
18530,1327.3,102.989
18540,1328,102.976
18550,1329,102.964
18560,1329.3,102.952
18570,1330.2,102.939
18580,1330.9,102.927
18590,1331.6,102.914
18600,1332.1,102.902
18610,1333.1,102.89
18620,1333.4,102.877
18630,1334,102.865
18640,1334.6,102.853
18650,1335.2,102.84
18660,1335.7,102.828
18670,1336.5,102.815
18680,1336.8,102.803
18690,1337.4,102.791
18700,1338.1,102.778
18710,1338.8,102.765
18720,1339.2,102.754
18730,1339.9,102.741
18740,1340.3,102.729
18750,1341.2,102.716
18760,1341.6,102.704
18770,1342.3,102.692
18780,1342.6,102.679
18790,1343.5,102.666
18800,1343.9,102.655
18810,1344.5,102.642
18820,1344.6,102.629
18830,1345.5,102.617
18840,1346.1,102.605
18850,1346.5,102.592
18860,1347.2,102.58
18870,1347.6,102.568
18880,1347.8,102.555
18890,1348.3,102.542
18900,1348.9,102.53
18910,1349.2,102.518
18920,1349.8,102.505
18930,1417.3,102.522
18940,1419,102.546
18950,1420.6,102.57
18960,1428.8,102.593
18970,1429.3,102.618
18980,1430.3,102.641
18990,1430.9,102.665
19000,1432.1,102.688
19010,1432.8,102.713
19020,1433.5,102.736
19030,1434.4,102.76
19040,1435.6,102.783
19050,1436.4,102.807
19060,1437.4,102.831
19070,1438.9,102.855
19080,1439.7,102.878
19090,1440.8,102.902
19100,1442,102.925
19110,1446.1,102.95
19120,1452.2,102.974
19130,1456.9,102.997
19140,1462.3,103.021
19150,1466,103.044
19160,1471,103.068
19170,1474.7,103.092
19180,1480,103.116
19190,1484.8,103.14
19200,1496.3,103.164
19210,1512.2,103.187
19220,1533.9,103.211
19230,1554.7,103.235
19240,1570.2,103.259
19250,1571.7,103.283
19260,1572.5,103.306
19270,1573,103.329
19280,1573.3,103.353
19290,1573.9,103.377
19300,1573.3,103.401
19310,1572.3,103.425
19320,1571.6,103.449
19330,1570.7,103.472
19340,1571.6,103.496
19350,1572.2,103.52
19360,1573,103.544
19370,1574,103.568
19380,1575.2,103.591
19390,1576.8,103.615
19400,1578.9,103.638
19410,1606.6,103.662
19420,1668.4,103.686
19430,1710.6,103.71
19440,1733.3,103.733
19450,1731.1,103.757
19460,1728.9,103.781
19470,1726.7,103.805
19480,1724.6,103.829
19490,1722.4,103.852
19500,1720.3,103.876
19510,1718,103.9
19520,1715.8,103.924
19530,1713.6,103.948
19540,1711.3,103.971
19550,1709.1,103.995
19560,1706.8,104.019
19570,1704.6,104.043
19580,1702.3,104.066
19590,1700.1,104.09
19600,1697.8,104.114
19610,1695.6,104.138
19620,1693.4,104.162
19630,1691.1,104.185
19640,1688.8,104.209
19650,1686.6,104.233
19660,1684.3,104.257
19670,1682.1,104.28
19680,1679.9,104.304
19690,1677.6,104.328
19700,1675.4,104.352
19710,1664.2,104.375
19720,1641.2,104.399
19730,1624.9,104.423
19740,1610.6,104.446
19750,1581.7,104.47
19760,1561.5,104.494
19770,1551.9,104.518
19780,1544.7,104.541
19790,1533,104.565
19800,1518.6,104.589
19810,1508,104.612
19820,1499.3,104.636
19830,1494.6,104.66
19840,1490.7,104.684
19850,1487.3,104.707
19860,1484.2,104.732
19870,1480.8,104.756
19880,1477.4,104.779
19890,1474.3,104.803
19900,1470.3,104.827
19910,1453.1,104.85
19920,1427.2,104.874
19930,1434.1,104.893
19940,1437.8,104.892
19950,1440.9,104.893
19960,1448.7,104.892
19970,1449.8,104.892
19980,1450.6,104.892
19990,1451.2,104.891
20000,1452,104.891
20010,1453.8,104.891
20020,1454.5,104.891
20030,1455.4,104.891
20040,1455.7,104.89
20050,1456.1,104.89
20060,1458.2,104.89
20070,1458.2,104.889
20080,1459.2,104.89
20090,1458.9,104.889
20100,1458.3,104.889
20110,1470.1,104.888
20120,1469,104.888
20130,1467.1,104.888
20140,1463.1,104.888
20150,1460.4,104.888
20160,1461.8,104.887
20170,1463,104.887
20180,1463.9,104.886
20190,1464.5,104.887
20200,1465.8,104.886
20210,1466.4,104.886
20220,1467.4,104.885
20230,1468.6,104.886
20240,1469.4,104.886
20250,1470.2,104.885
20260,1470.9,104.885
20270,1472,104.885
20280,1473,104.885
20290,1473.5,104.884
20300,1477.9,104.884
20310,1480.3,104.884
20320,1485.5,104.884
20330,1486.7,104.883
20340,1489.2,104.883
20350,1490.5,104.883
20360,1493.5,104.883
20370,1495.2,104.882
20380,1495.6,104.882
20390,1495.2,104.882
20400,1495.6,104.882
20410,1496.4,104.881
20420,1496.8,104.881
20430,1497.8,104.881
20440,1497.6,104.881
20450,1497.9,104.88
20460,1498.3,104.88
20470,1498.6,104.88
20480,1499.6,104.879
20490,1499.8,104.879
20500,1499.5,104.879
20510,1499.8,104.879
20520,1499.9,104.878
20530,1500.6,104.879
20540,1500.8,104.878
20550,1498.4,104.878
20560,1497.9,104.878
20570,1497.8,104.877
20580,1497.9,104.877
20590,1497.9,104.877
20600,1498.1,104.877
20610,1497.4,104.876
20620,1497.7,104.877
20630,1497.3,104.876
20640,1497.4,104.875
20650,1497.5,104.876
20660,1497.5,104.875
20670,1496.9,104.875
20680,1496.6,104.875
20690,1496.7,104.875
20700,1496.6,104.874
20710,1496.5,104.874
20720,1494.6,104.874
20730,1490,104.873
20740,1484.6,104.874
20750,1480.5,104.873
20760,1477.1,104.872
20770,1470.4,104.873
20780,1464.9,104.872
20790,1462.9,104.873
20800,1461.4,104.872
20810,1460.2,104.871
20820,1459,104.872
20830,1457.7,104.871
20840,1455.5,104.87
20850,1454,104.871
20860,1452.9,104.87
20870,1452.1,104.87
20880,1451,104.87
20890,1450.2,104.869
20900,1448.3,104.87
20910,1445.8,104.869
20920,1444.1,104.869
20930,1442.1,104.869
20940,1440.4,104.868
20950,1437.7,104.868
20960,1436.2,104.868
20970,1434.3,104.868
20980,1432.3,104.867
20990,1430.6,104.868
21000,1429,104.867
21010,1427.6,104.866
21020,1425.6,104.867
21030,1423.8,104.866
21040,1424.3,104.866
21050,1423.9,104.865
21060,1424,104.866
21070,1423.8,104.865
21080,1424.3,104.865
21090,1424.4,104.865
21100,1424.2,104.865
21110,1424.2,104.864
21120,1424.8,104.864
21130,1424.6,104.864
21140,1424.9,104.864
21150,1425.4,104.863
21160,1425.8,104.863
21170,1427.8,104.858
21180,1430.2,104.852
21190,1432.7,104.845
21200,1434.9,104.839
21210,1438.2,104.833
21220,1441.8,104.827
21230,1444.8,104.821
21240,1451.3,104.815
21250,1459.3,104.809
21260,1469,104.803
21270,1482.4,104.798
21280,1498.2,104.791
21290,1511.3,104.785
21300,1532.4,104.779
21310,1552.2,104.773
21320,1570.1,104.766
21330,1582.1,104.761
21340,1595.1,104.755
21350,1607.6,104.748
21360,1628.4,104.743
21370,1649.6,104.736
21380,1667.5,104.731
21390,1680.2,104.725
21400,1687.2,104.718
21410,1687,104.713
21420,1685.6,104.706
21430,1684.9,104.7
21440,1684.5,104.695
21450,1684.8,104.688
21460,1686.1,104.683
21470,1685.9,104.676
21480,1684.2,104.67
21490,1682.4,104.664
21500,1680.9,104.658
21510,1679.5,104.653
21520,1678.2,104.646
21530,1677,104.64
21540,1675,104.634
21550,1673,104.628
21560,1671,104.622
21570,1669,104.616
21580,1667.1,104.609
21590,1665.1,104.604
21600,1663.2,104.597
21610,1661.3,104.592
21620,1659.5,104.585
21630,1657.6,104.58
21640,1655.8,104.573
21650,1654,104.567
21660,1652.3,104.561
21670,1650.4,104.555
21680,1648.7,104.549
21690,1647,104.543
21700,1645.2,104.537
21710,1643.4,104.531
21720,1641.7,104.525
21730,1640,104.519
21740,1638.3,104.513
21750,1636.5,104.507
21760,1634.9,104.501
21770,1633.2,104.495
21780,1631.6,104.489
21790,1630,104.483
21800,1628.4,104.477
21810,1626.8,104.47
21820,1625.3,104.465
21830,1623.7,104.458
21840,1622.2,104.453
21850,1620.7,104.446
21860,1619.1,104.441
21870,1617.7,104.434
21880,1616.2,104.428
21890,1614.8,104.422
21900,1613.3,104.416
21910,1611.9,104.411
21920,1610.5,104.404
21930,1609.1,104.399
21940,1607.7,104.392
21950,1606.3,104.386
21960,1604.8,104.38
21970,1603.4,104.374
21980,1602,104.367
21990,1600.6,104.362
22000,1599.3,104.356
22010,1598,104.35
22020,1596.7,104.344
22030,1595.4,104.337
22040,1594.1,104.332
22050,1592.9,104.326
22060,1591.6,104.319
22070,1590.4,104.314
22080,1589.2,104.307
22090,1588,104.301
22100,1586.6,104.296
22110,1585.5,104.289
22120,1584.2,104.283
22130,1583.1,104.278
22140,1581.9,104.271
22150,1580.7,104.265
22160,1579.6,104.26
22170,1578.4,104.253
22180,1577.3,104.247
22190,1576.1,104.241
22200,1575,104.235
22210,1573.9,104.229
22220,1572.7,104.222
22230,1571.5,104.217
22240,1570.4,104.211
22250,1569.3,104.204
22260,1568.2,104.199
22270,1567.1,104.193
22280,1566,104.186
22290,1564.9,104.18
22300,1563.4,104.175
22310,1562,104.169
22320,1558.9,104.161
22330,1560,104.141
22340,1560.6,104.121
22350,1560.7,104.099
22360,1560.8,104.079
22370,1560.9,104.059
22380,1561,104.038
22390,1561.1,104.018
22400,1561.2,103.998
22410,1561.3,103.978
22420,1561.4,103.957
22430,1561.4,103.937
22440,1561.6,103.917
22450,1561.7,103.896
22460,1561.8,103.876
22470,1561.9,103.856
22480,1562,103.835
22490,1562.1,103.815
22500,1562.2,103.795
22510,1562.3,103.773
22520,1562.4,103.753
22530,1562.5,103.733
22540,1562.6,103.712
22550,1562.7,103.692
22560,1562.8,103.672
22570,1562.9,103.652
22580,1563,103.631
22590,1563.2,103.611
22600,1563.3,103.591
22610,1563.3,103.57
22620,1563.5,103.55
22630,1563.6,103.53
22640,1563.7,103.509
22650,1563.9,103.489
22660,1563.9,103.469
22670,1564.1,103.448
22680,1564.2,103.428
22690,1564.3,103.407
22700,1564.4,103.386
22710,1564.5,103.366
22720,1564.7,103.346
22730,1564.8,103.325
22740,1564.9,103.305
22750,1565,103.285
22760,1565.1,103.265
22770,1565.3,103.244
22780,1565.4,103.224
22790,1565.5,103.204
22800,1565.6,103.183
22810,1565.8,103.163
22820,1565.9,103.143
22830,1566.1,103.122
22840,1566.1,103.102
22850,1566.3,103.082
22860,1566.5,103.061
22870,1566.6,103.041
22880,1566.7,103.021
22890,1566.8,102.999
22900,1567,102.979
22910,1567.2,102.959
22920,1567.3,102.938
22930,1567.4,102.918
22940,1567.6,102.898
22950,1567.8,102.877
22960,1568,102.857
22970,1568,102.837
22980,1568.2,102.816
22990,1568.4,102.796
23000,1568.6,102.776
23010,1568.8,102.755
23020,1568.9,102.735
23030,1569,102.715
23040,1569.2,102.694
23050,1569.5,102.674
23060,1569.5,102.654
23070,1569.7,102.633
23080,1570,102.613
23090,1570.1,102.593
23100,1570.4,102.572
23110,1570.5,102.551
23120,1570.7,102.531
23130,1570.9,102.51
23140,1571.1,102.49
23150,1571.4,102.47
23160,1571.5,102.449
23170,1571.7,102.429
23180,1572,102.409
23190,1572.3,102.388
23200,1572.4,102.368
23210,1572.6,102.348
23220,1572.9,102.327
23230,1573.2,102.307
23240,1573.4,102.287
23250,1573.6,102.266
23260,1573.9,102.246
23270,1574.2,102.226
23280,1574.5,102.205
23290,1574.7,102.185
23300,1575,102.165
23310,1575.3,102.144
23320,1575.6,102.124
23330,1575.8,102.104
23340,1576,102.083
23350,1576.2,102.063
23360,1576.4,102.043
23370,1576.7,102.021
23380,1576.8,102.001
23390,1577.1,101.981
23400,1577.3,101.96
23410,1577.6,101.94
23420,1577.8,101.92
23430,1578,101.899
23440,1578.3,101.879
23450,1578.5,101.859
23460,1578.8,101.838
23470,1579.1,101.818
23480,1579.4,101.798
23490,1579.6,101.777
23500,1579.9,101.757
23510,1580.2,101.737
23520,1580.4,101.716
23530,1580.6,101.696
23540,1580.9,101.676
23550,1581.2,101.655
23560,1581.4,101.635
23570,1581.7,101.615
23580,1581.9,101.594
23590,1582.2,101.574
23600,1582.5,101.554
23610,1582.7,101.533
23620,1583,101.513
23630,1583.3,101.493
23640,1583.6,101.472
23650,1583.9,101.451
23660,1584.2,101.431
23670,1593.8,101.431
23680,1595.6,101.446
23690,1597.3,101.461
23700,1599,101.475
23710,1600.7,101.49
23720,1602.5,101.505
23730,1604.2,101.519
23740,1605.9,101.534
